 Marlon Brando
 Leonardo DiCaprio
 Alain Delon
 James Dean
 Paul Newman
 Johnny Depp
 Robert Redford
 Steve McQueen
 George Clooney
 Ryan Gosling
 James Stewart
 Brad Pitt
 Mohammad Reza Golzar
 Tom Cruise
 Cary Grant
 Clark Gable
 Montgomery Clift
 Kirk Douglas
 Rock Hudson
 Gregory Peck
 Sean Connery
 Hugh Jackman
 Denzel Washington
 Pierce Brosnan
 Al Pacino
 Mads Mikkelsen
 Kevin Costner
 Humphrey Bogart
 Clive Owen
 Robert Pattinson
 Salman Khan
 Zac Efron
 William Holden
 Michael Douglas
 Daniel Craig
 Viggo Mortensen
 Clint Eastwood
 Gary Cooper
 Richard Gere
 Mel Gibson
 Errol Flynn
 Robert Downey Jr.
 Channing Tatum
 Keanu Reeves
 Will Smith
 Josh Hartnett
 Gael García Bernal
 Shah Rukh Khan
 Jon Hamm
 Rudolph Valentino
 Peter O'Toole
 Ryan O'Neal
 Ryan Reynolds
 Chris Evans
 Chris Hemsworth
 Alexander Skarsgård
 Tom Hardy
 Matthew McConaughey
 Bahram Radan
 Harrison Ford
 Henry Cavill
 Bradley Cooper
 Andy Garcia
 Don Johnson
 Mark Harmon
 John Wayne
 Tony Curtis
 Colin Firth
 Antonio Banderas
 Eric Bana
 James Marsden
 Paul Walker
 Alec Baldwin
 Tyrone Power
 Ben Affleck
 Henry Fonda
 Chris Noth
 Burt Reynolds
 Jeffrey Hunter
 Casey Affleck
 Jesse Williams
 Patrick Swayze
 Shahab Hosseini
 Val Kilmer
 Alan Rickman
 Laurence Olivier
 Christian Bale
 Robert Wagner
 James Franco
 Jude Law
 Chris Pine
 Hrithik Roshan
 Idris Elba
 Jake Gyllenhaal
 Heath Ledger
 Rob Lowe
 Lance Gross
 Colin Farrell
 Kyle Gallner
